2023-05-23 10:05:454 INFO  LoginPage :41 - Enter User Name: Admin
2023-05-23 10:05:647 INFO  LoginPage :51 - Enter Password: admin123
2023-05-23 10:05:745 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (2fde95d02b2321a63bc5ef7deb61ef99)] -> xpath: //button[@type='submit']]
2023-05-23 10:05:854 INFO  LoginPage :62 - Verifying Login: [[ChromeDriver: chrome on WINDOWS (2fde95d02b2321a63bc5ef7deb61ef99)] -> xpath: //h6[normalize-space()='Dashboard']]
2023-05-23 10:05:323 INFO  LoginPage :41 - Enter User Name: Admin
2023-05-23 10:05:621 INFO  LoginPage :51 - Enter Password: admin123
2023-05-23 10:05:706 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (c94e45277be20799fafa0eb16b69c334)] -> xpath: //button[@type='submit']]
2023-05-23 10:05:916 INFO  DashboardPage :32 - Verifying Orange HRM Logo: [[ChromeDriver: chrome on WINDOWS (c94e45277be20799fafa0eb16b69c334)] -> xpath: //img[@alt='client brand banner']]
2023-05-23 10:05:328 INFO  LoginPage :41 - Enter User Name: Admin
2023-05-23 10:05:616 INFO  LoginPage :51 - Enter Password: admin123
2023-05-23 10:05:712 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (fcbc9af9b97960de76d1b80bc03216d0)] -> xpath: //button[@type='submit']]
2023-05-23 10:05:829 INFO  HomePage :44 - Clicking on user profile logo: [[ChromeDriver: chrome on WINDOWS (fcbc9af9b97960de76d1b80bc03216d0)] -> xpath: //p[@class='oxd-userdropdown-name']]
2023-05-23 10:05:403 INFO  HomePage :50 - Clicking on Log Out: [[ChromeDriver: chrome on WINDOWS (fcbc9af9b97960de76d1b80bc03216d0)] -> xpath: //a[normalize-space()='Logout']]
2023-05-23 10:05:747 INFO  LoginPage :36 - Verifying Login Text: [[ChromeDriver: chrome on WINDOWS (fcbc9af9b97960de76d1b80bc03216d0)] -> xpath: //h5[normalize-space()='Login']]
2023-05-23 10:05:335 INFO  LoginPage :41 - Enter User Name: Admin
